ItmIID;ItmSID;ItmName255_DE;ItmName255_EN
E3_I_0210;01_09_04;ausreichende Körperkraft/ Energie;sufficient physical strength/ energy
E3_I_0211;01_09_09;n.b.;n/a
E3_I_0219;04_08_01;ständig feucht;constantly moist
E3_I_0220;04_08_02;häufig feucht;often moist
E3_I_0221;04_08_03;manchmal feucht;sometimes moist
E3_I_0222;04_08_04;nicht feucht;not moist
E3_I_0225;03_12_01;stark erhöht/ schwerer Stressmetabolismus;highly elevated/severe stress metabolism
E3_I_0226;03_12_02;erhöht/ mittlerer Stressmetabolismus;raised/moderate stress metabolism
E3_I_0227;03_12_03;leicht erhöht/geringer Stressmetabolismus;slightly raised/low stress metabolism
E3_I_0228;03_12_04;normaler Bedarf;normal requirements
E3_I_0229;03_13_00;keine;none
E3_I_0230;03_13_01;Zielmenge (noch) nicht erreicht;Target amount not (yet) reached
E3_I_0231;03_13_03;Zielmenge erreicht;Target quantity reached
E3_I_0232;03_14_00;0 ml;0 ml
E3_I_0233;03_14_01;1 - 500 ml;1 - 500 ml
E3_I_0234;03_14_02;501 - 1000 ml;501 - 1000 ml
E3_I_0235;03_14_03;1001 - 1500 ml;1001 - 1500 ml
E3_I_0236;03_14_04;mehr als 1500 ml;more than 1500 ml
E3_I_0237;10_05_99;Ursache;Cause
E3_I_0238;03_15_00;0 ml (keine Ergänzung);0 ml (no additional fluids)
E3_I_0239;03_15_01;1 - 500 ml;1 - 500 ml
E3_I_0240;03_15_02;501 - 1000 ml;501 - 1000 ml
E3_I_0241;03_15_03;1001 - 1500 ml;1001 - 1500 ml
E3_I_0242;03_15_04;mehr als 1500 ml;more than 1500 ml
E3_I_0243;07_06_14;kombiniert aggressiv und nicht aggressiv agitiertes Verhalten;combined aggressive and non-aggressive agitated behaviour
E3_I_0248;03_18_01;Ja;Yes
E3_I_0249;03_18_04;Nein;No
E3_I_0250;03_17_41;Übelkeit (Selbsteinschätzung);nausea (self-assessment)
E3_I_0251;03_17_44;keine Übelkeit (Selbsteinschätzung);no nausea (self-assessment)
E3_I_0252;03_17_11;Übelkeit (Fremdeinschätzung);Nausea (external assessment)
E3_I_0253;03_17_14;Übelkeit unwahrscheinlich (Fremdeinschätzung);nausea unlikely (external assessment)
E3_I_0254;06_05_01;keine Fähigkeit;no ability
E3_I_0255;06_05_02;gering vorhandene Fähigkeit;limited ability present
